id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
768,45,1.58668,-0.81833,1,0,0,0,1,0,1,45,0,1.58668,0,-0.81833,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
780,30,0.11445,-1.09203,1,0,0,0,0,1,1,0,30,0,0.11445,0,-1.09203,0,1,0,0,0,0,0,0,0,0,0,1,0,1
786,85,-0.37442,-0.22646,0,0,0,1,0,1,0,0,85,0,-0.37442,0,-0.22646,0,0,0,0,0,0,0,1,0,0,0,1,0,0
801,37,0.04603,-0.36855,1,1,0,0,1,0,1,37,0,0.04603,0,-0.36855,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
819,31.5,0.00649,-0.1736,1,1,0,0,1,0,1,31.5,0,0.00649,0,-0.1736,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
828,70,2.60281,0.02914,1,1,1,0,1,0,0,70,0,2.60281,0,0.02914,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
844,30,0.18843,-0.49433,1,1,0,0,1,1,1,30,0,0.18843,0,-0.49433,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
845,25,0.29606,0.22495,0,0,0,1,0,1,0,0,25,0,0.29606,0,0.22495,0,0,0,0,0,0,0,1,0,0,0,1,0,0
864,45,-0.09091,-0.1925,1,0,1,0,0,1,1,0,45,0,-0.09091,0,-0.1925,0,1,0,0,0,1,0,0,0,0,0,1,0,1
866,30,2.21202,-0.22745,1,0,1,0,1,1,0,30,0,2.21202,0,-0.22745,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
872,45,0.33003,-0.27522,0,1,0,1,1,1,0,45,0,0.33003,0,-0.27522,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
876,30,-0.56236,-0.59595,1,0,1,0,0,0,1,0,30,0,-0.56236,0,-0.59595,0,1,0,0,0,1,0,0,0,0,0,0,0,1
878,90,-0.92483,0.28886,0,0,1,1,1,1,0,90,0,-0.92483,0,0.28886,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
921,45,-0.68828,-0.44435,0,0,1,1,1,1,0,45,0,-0.68828,0,-0.44435,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
932,60,0.8173,-0.37582,1,1,0,0,1,1,0,60,0,0.8173,0,-0.37582,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
935,30,-0.0477,-1.1639,1,1,0,0,1,0,1,30,0,-0.0477,0,-1.1639,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
953,81,-0.81417,-0.834,0,0,1,1,0,1,0,0,81,0,-0.81417,0,-0.834,0,0,0,0,0,1,0,1,0,0,0,1,0,0
960,50,1.00265,0.56064,0,0,0,1,1,1,0,50,0,1.00265,0,0.56064,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
964,75,1.38008,-0.39601,1,1,1,0,0,0,0,0,75,0,1.38008,0,-0.39601,0,1,0,1,0,1,0,0,0,0,0,0,0,0
965,70,-0.28683,-0.40122,0,0,0,1,0,1,1,0,70,0,-0.28683,0,-0.40122,0,0,0,0,0,0,0,1,0,0,0,1,0,1
972,30,-0.43196,0.64134,1,1,1,0,0,1,1,0,30,0,-0.43196,0,0.64134,0,1,0,1,0,1,0,0,0,0,0,1,0,1
975,40,1.09524,-1.14716,1,0,0,0,1,1,0,40,0,1.09524,0,-1.14716,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
978,30,0.16117,0.44262,0,0,0,1,1,1,0,30,0,0.16117,0,0.44262,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
